No,Score,Balls,Strike Rate,Player,Team,Opposition,Innings,Venue,City,Date,Result
48,104*,63,165.08,Chris Gayle,Punjab Kings,Sunrisers Hyderabad,1,PCA Stadium, Mohali,19-Apr-18,Won
49,106,57,185.96,Shane Watson,Chennai Super Kings,Rajasthan Royals,1,MCA Cricket Ground, Pune,20-Apr-18,Won
50,128*,63,203.17,Rishabh Pant,Delhi Capitals,Sunrisers Hyderabad,1,Feroz Shah Kotla Ground, Delhi,10-May-18,Lost
51,100*,62,161.29,Ambati Rayudu,Chennai Super Kings,Sunrisers Hyderabad,2,MCA Cricket Ground, Pune,13-May-18,Won
52,117*,57,205.26,Shane Watson,Chennai Super Kings,Sunrisers Hyderabad,2,Wankhede Stadium, Mumbai,27-May-18,Won
53,102*,55,185.45,Sanju Samson,Rajasthan Royals,Sunrisers Hyderabad,1,Rajiv Gandhi International Cricket Stadium, Hyderabad,29-Mar-19,Lost
54,114,56,203.57,Jonny Bairstow,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,Rajiv Gandhi International Cricket Stadium, Hyderabad,31-Mar-19,Won
55,100*,55,181.81,David Warner,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,Rajiv Gandhi International Cricket Stadium, Hyderabad,31-Mar-19,Won
56,100*,64,156.25,KL Rahul,Punjab Kings,Mumbai Indians,1,Wankhede Stadium, Mumbai,10-Apr-19,Lost
57,100,58,172.41,Virat Kohli,Royal Challengers Bengaluru,Kolkata Knight Riders,1,Eden Gardens, Kolkata,19-Apr-19,Won
58,105*,63,166.66,Ajinkya Rahane,Rajasthan Royals,Delhi Capitals,1,Sawai Mansingh Stadium, Jaipur,22-Apr-19,Lost
59,132*,69,191.3,KL Rahul,Punjab Kings,Royal Challengers Bengaluru,1,Dubai International Cricket Stadium, Dubai,24-Sep-20,Won
60,106,50,212,Mayank Agarwal,Punjab Kings,Rajasthan Royals,1,Sharjah Cricket Stadium, Sharjah,27-Sep-20,Lost
61,101*,58,174.13,Shikhar Dhawan,Delhi Capitals,Chennai Super Kings,2,Sharjah Cricket Stadium, Sharjah,17-Oct-20,Won
